date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2019-06-03,892.0,901.35,892.0,886.28,34479.24,2.0,0.23,897.442,888.871,892.814,50187.99,46662.18,56466.44,0.27
2019-05-31,900.53,906.99,890.0,890.0,35793.8,-15.3,-1.69,894.842,888.167,893.514,51124.53,47655.06,61497.47,0.28
2019-05-30,910.0,919.99,905.3,891.22,40247.2,-6.61,-0.72,892.542,889.846,897.714,52772.59,49059.84,61504.94,0.32
2019-05-29,888.01,924.95,911.91,888.01,65646.96,23.91,2.69,883.682,892.307,901.047,56334.87,49489.13,62121.19,0.52
2019-05-28,877.99,907.49,888.0,875.02,74772.77,9.0,1.02,878.9,893.816,902.702,49613.8,49236.86,61002.73,0.6
2019-05-27,879.1,882.99,879.0,860.05,39161.91,0.5,0.06,880.3,893.673,905.92,43136.37,47757.9,59254.15,0.31
2019-05-24,865.0,885.0,878.5,864.44,44034.09,17.5,2.03,881.492,894.973,910.47,44185.59,48505.42,59557.41,0.35
2019-05-23,881.0,883.98,861.0,856.22,58058.63,-27.0,-3.04,887.15,897.835,915.293,45347.09,52092.75,59798.31,0.46
2019-05-22,894.98,904.0,888.0,880.0,32041.58,-7.0,-0.78,900.932,897.616,919.703,42643.39,55441.4,58926.77,0.26
2019-05-21,885.0,910.0,895.0,872.02,42385.65,10.04,1.14,908.732,897.256,922.931,48859.92,60425.54,58943.68,0.34
2019-05-20,900.0,900.0,884.96,871.0,44407.99,-21.83,-2.41,907.046,896.756,925.456,52379.42,66270.7,57804.33,0.35
2019-05-17,927.02,932.3,906.79,900.1,49841.61,-23.12,-2.49,908.454,898.86,928.808,52825.26,75339.87,57621.98,0.4
2019-05-16,919.0,932.0,929.91,905.0,44540.12,2.91,0.31,908.52,905.581,930.463,58838.41,73950.03,57451.07,0.35
2019-05-15,890.24,933.0,927.0,890.24,63124.25,40.43,4.56,894.3,909.787,929.318,68239.42,74753.25,57500.2,0.5
2019-05-14,885.0,906.0,886.57,873.0,59983.12,-5.43,-0.61,885.78,911.587,928.668,71991.16,72768.59,56774.59,0.48
2019-05-13,898.86,910.98,892.0,884.0,46637.18,-15.12,-1.67,886.466,918.167,930.599,80161.99,70750.41,56830.56,0.37
2019-05-10,875.66,910.78,907.12,868.19,79907.38,48.31,5.62,889.266,925.967,933.399,97854.49,70609.4,57889.42,0.64
2019-05-09,875.0,879.87,858.81,842.5,91545.15,-25.59,-2.89,902.642,932.75,933.293,89061.65,67503.86,56293.54,0.73
2019-05-08,860.0,901.8,884.4,860.0,81882.98,-5.6,-0.63,925.274,941.789,935.362,81267.08,62412.14,55028.88,0.65
2019-05-07,893.28,913.94,890.0,870.22,100837.26,-16.0,-1.77,937.394,948.605,934.392,73546.02,57461.82,53723.35,0.8
2019-05-06,925.5,935.0,906.0,893.0,135099.69,-68.0,-6.98,949.868,954.155,932.117,61338.84,49337.95,50834.33,1.08
2019-04-30,968.0,984.96,974.0,963.11,35943.18,2.03,0.21,962.668,958.755,929.317,43364.3,39904.08,46740.7,0.29
2019-04-29,945.0,989.0,971.97,935.0,52572.3,26.97,2.85,962.858,955.345,923.567,45946.07,40952.11,47990.27,0.42
2019-04-26,946.3,959.88,945.0,945.0,43277.68,-7.37,-0.77,958.304,948.848,917.668,43557.21,40247.14,49908.35,0.34
2019-04-25,968.79,973.99,952.37,951.22,39801.34,-17.63,-1.82,959.816,945.748,910.758,41377.63,40780.59,50622.81,0.32
2019-04-24,979.88,990.0,970.0,951.22,45227.0,-4.95,-0.51,958.442,943.031,902.565,37337.06,42910.71,50773.11,0.36
2019-04-23,951.0,981.22,974.95,949.2,48852.05,25.75,2.71,954.842,940.83,892.715,36443.87,45169.45,50391.54,0.39
2019-04-22,959.5,978.89,949.2,940.61,40627.96,-3.36,-0.35,947.832,933.835,882.747,35958.14,45083.23,49812.46,0.32
2019-04-19,943.96,960.95,952.56,931.31,32379.78,7.06,0.75,939.392,928.935,874.987,36937.08,47645.62,49306.94,0.26
2019-04-18,945.41,954.68,945.5,936.22,19598.52,-6.5,-0.68,931.68,920.179,866.647,40183.56,49984.88,49316.62,0.16
2019-04-17,938.0,955.51,952.0,925.0,40761.02,12.1,1.29,927.62,910.079,859.012,48484.36,52330.71,49892.57,0.32
2019-04-16,904.9,939.9,939.9,901.22,46423.44,32.9,3.63,926.818,899.879,851.042,53895.03,53577.31,49886.26,0.37
2019-04-15,931.0,939.0,907.0,907.0,45522.64,-7.0,-0.77,919.838,891.789,844.552,54208.31,55028.43,51631.03,0.36
2019-04-12,909.0,919.99,914.0,900.01,48612.17,-11.2,-1.21,918.478,886.488,838.067,58354.16,59569.56,51974.93,0.39
2019-04-11,948.0,950.0,925.2,905.55,61102.54,-22.79,-2.4,908.678,875.768,831.267,59786.2,60465.02,52652.95,0.49
2019-04-10,903.0,951.9,947.99,900.0,67814.38,42.99,4.75,892.538,862.098,822.707,56177.05,58635.5,51625.89,0.54
2019-04-09,903.0,908.2,905.0,892.51,47989.8,4.8,0.53,872.94,844.599,812.558,53259.59,55613.64,50860.67,0.38
2019-04-08,900.0,908.0,900.2,890.12,66251.93,35.2,4.07,863.74,831.659,805.235,55848.55,54541.7,51114.05,0.53
2019-04-04,840.0,865.8,865.0,836.2,55772.36,20.5,2.43,854.498,821.039,797.1,60784.96,50968.26,50415.21,0.44
2019-04-03,840.12,851.74,844.5,834.21,43056.8,-5.5,-0.65,842.858,813.114,791.28,61143.84,48648.35,50635.62,0.34
2019-04-02,859.99,859.99,850.0,836.06,53227.05,-9.0,-1.05,831.658,807.944,787.455,61093.95,47454.42,50819.35,0.42
2019-04-01,860.0,868.95,859.0,851.0,60934.61,5.01,0.59,816.258,802.205,783.944,57967.68,46195.21,50399.52,0.49
2019-03-29,835.0,866.68,853.99,830.17,90933.96,47.19,5.85,799.578,797.314,780.087,53234.85,48233.63,51582.09,0.72
2019-03-28,793.43,814.48,806.8,785.68,57566.76,18.3,2.32,787.58,789.645,776.852,41151.56,44380.3,50227.41,0.46
2019-03-27,781.0,793.88,788.5,775.0,42807.39,15.5,2.0,783.37,786.765,774.263,36152.86,44840.88,50198.38,0.34
2019-03-26,780.0,785.94,773.0,764.1,37595.69,-2.6,-0.34,784.23,783.315,771.873,33814.89,44616.28,51355.12,0.3
2019-03-25,786.0,788.0,775.6,773.3,37270.46,-18.4,-2.32,788.152,780.516,769.59,34422.74,46107.71,52373.57,0.3
2019-03-22,788.22,799.98,794.0,785.0,30517.5,8.25,1.05,795.05,778.81,767.927,43232.41,47686.39,54641.18,0.24
